x,y
0,2.995681924423719
1,3.262969839057562
2,11.765436439201686
3,10.774808096036974
4,6.27750673425065
5,15.043309128137295
6,15.657232360259771
7,17.298809939863883
8,17.72822030108339
9,21.744970454277652
10,27.87966917125847
11,22.597240110412006
12,28.830037725232508
13,29.66548608998133
14,26.219355390124633
15,32.445041319586956
16,32.551386260613896
17,40.284639391573656
18,41.39025495091762
19,41.148033259742505
20,44.77513119109217
21,46.21995263363873
22,46.19725409416084
23,49.03749125456699
24,47.62531009496816
25,52.28691390547947
26,52.29452521077124
27,61.01921792412095
28,56.71175363633428
29,61.81096140400533
30,60.05929863306983
31,60.98534241766307
32,68.85014953743027
33,73.94421241867701
34,70.48226238809609
35,71.66737739522291
36,77.63069122234877
37,75.92442322995872
38,74.9534694381454
39,80.25824239647257
40,83.66728344982182
41,83.37036525570345
42,88.98480347235201
43,84.7677186072247
44,92.10362644084677
45,94.82078943545704
46,97.50688733757126
47,92.0837694197652
48,99.33479903242225
49,101.8293197461107
50,102.39765613294344
51,103.5299498672039
52,106.61151148139234
53,104.86180457338256
54,107.60431656395987
55,114.41486804654632
56,111.99944521595422
57,120.42055755111836
58,114.71018091361397
59,125.2443010730084
60,123.90714819204247
61,125.27621063036462
62,127.60690274534952
63,128.55086044193789
64,133.69936373707947
65,134.3860443770047
66,135.72821453269103
67,137.89816600643968
68,138.13310994780787
69,136.63417651976295
70,141.51199818085993
71,146.51785936258773
72,150.95897552821538
73,147.4626996611124
74,155.7807630092141
75,151.65229416412043
76,154.02479290792738
77,161.23724823174854
78,161.18380163341095
79,158.166321025862
80,161.07168347977984
81,164.63391342822402
82,163.28774141800338
83,173.37327940758925
84,171.42714344479236
85,169.86028990522087
86,176.99289066869602
87,179.58887989926885
88,174.56050862289217
89,180.9367084896099
90,181.66454105912524
91,187.84569562688506
92,186.72894656262477
93,184.02205196121008
94,187.98444577568847
95,194.84689788831153
96,191.13281013981327
97,192.53443990445254
98,195.62643081912182
99,200.22941468435855
100,207.71485487264718
101,209.05156302410927
102,206.97016980953356
103,210.29196720837425
104,209.240987908304
105,216.93998533342085
106,215.19974216812125
107,220.99818323591415
108,214.60465098835695
109,219.12562561119103
110,224.42767760197066
111,227.7136085713955
112,231.44662186542843
113,230.90284250228075
114,234.96364678578072
115,234.66298929357274
116,235.2813291710507
117,236.93901718389162
118,235.00838048343516
119,236.51822528506443
120,238.90168655684937
121,245.7547431409811
122,245.03047233785168
123,251.48669069879134
124,255.09794243433217
125,251.891687028492
126,258.55062241197106
127,253.14645884313018
128,255.02620382697327
129,264.42463825303327
130,261.95349462915624
131,263.52822890083473
132,267.54361942685983
133,267.1415720425694
134,272.7738095648432
135,273.0451365615741
136,275.01647815855534
137,280.100924245069
138,275.34327592107894
139,277.768521210527
140,282.1059784849667
141,283.5853029322841
142,287.94761760895636
143,285.3729696285288
144,286.2990666486188
145,288.02367882772654
146,295.87653362456615
147,294.15737480846275
148,298.98794275819915
149,302.48606439475236
150,304.6102469170301
151,309.86417578099207
152,303.8801759889933
153,306.5559496807712
154,310.4936263528884
155,308.1717482274437
156,315.178502895281
157,315.2641007994397
158,314.17232521804067
159,322.86931419044674
160,322.4306734417046
161,320.2448429514023
162,330.3709817728627
163,325.7304042295325
164,333.4738773729844
165,334.20998646587134
166,330.7611804198008
167,340.2330377497924
168,340.71095564153194
169,343.4384659423719
170,341.0574459361301
171,343.903592459699
172,346.52250875289104
173,351.2336832350252
174,351.87526926779475
175,350.1767420712579
176,351.6551304719692
177,352.08978969631943
178,361.2133671218543
179,360.2173460526419
180,358.5083246042273
181,369.9447686699437
182,362.1582150840261
183,367.6057186209302
184,374.6348722835988
185,376.10304557375105
186,373.9354887283295
187,378.17980398204315
188,380.7004349411477
189,381.31011743864
190,381.5704753636701
191,389.16147733301074
192,388.0446572208294
193,386.0176452114198
194,395.49083137639974
195,390.6604514070474
196,391.1174915627455
197,394.1699991783293
198,398.3062843738493
199,404.7695419374275
200,400.45319184484697
201,402.98017166568525
202,408.6024426184585
203,404.6542657928848
204,413.75328637501
205,414.2402890523711
206,410.7773045737352
207,414.88473061135244
208,423.339000360812
209,417.62051352488487
210,419.9884035525714
211,425.25230366074436
212,423.43858803943533
213,424.97116149995
214,429.18653257804857
215,429.42381334080176
216,438.5513380579626
217,440.23493445715667
218,440.15242046559104
219,441.83967897022103
220,444.3539390741252
221,447.30693208228183
222,443.0010886747827
223,453.7909345085846
224,451.5240735691872
225,448.2695987897451
226,458.91605634949536
227,454.45085675111886
228,460.84135093528886
229,461.2137078345043
230,460.7178327963282
231,463.8575559384424
232,463.72564709347546
233,465.5248727109149
234,470.46981082065116
235,469.7035289728223
236,473.72299073728635
237,473.8515061430037
238,475.802668226618
239,479.9466523161651
240,482.3918217710025
241,489.1359784461854
242,491.0915898822106
243,492.7988944475623
244,490.53335154295985
245,490.3566120956615
246,491.8450541923648
247,500.9056362863135
248,498.1771440769816
249,505.13789810112985
250,501.3006511491805
251,502.4935795754226
252,504.189512513195
253,507.8393909467947
254,509.3002608349711
255,512.346539290388
256,510.5169523492887
257,518.1980170405794
258,518.5602221772069
259,524.8884038885716
260,523.545594657886
261,528.8008265412434
262,525.1695660174903
263,529.4148303182591
264,533.2555853216095
265,531.5715622240955
266,533.2743067934538
267,536.6178852349798
268,535.2406011705662
269,542.4411454485576
270,541.146090592793
271,546.6053089641928
272,544.4929726132027
273,544.2561772890856
274,551.9511862615401
275,556.9120246785801
276,553.3627454707733
277,558.014059617837
278,554.9715587518593
279,559.4517348551225
280,563.2910914609076
281,569.818067942637
282,569.0936213002628
283,567.3404459198114
284,570.5633185589883
285,575.172776722718
286,575.3853847398894
287,578.03365356069
288,575.7618235337283
289,583.6289314306107
290,583.9072863973489
291,581.2333472599576
292,586.5217404591205
293,593.6338154133906
294,593.2441112935185
295,592.1112431907503
296,599.9146662254268
297,600.8394842271558
298,597.0758755263662
299,605.6758977505034
300,599.4012330270459
301,605.6624831321444
302,604.9004771997653
303,613.3524319065699
304,612.5527527894263
305,610.2809137433011
306,611.8497131301865
307,617.2353905181067
308,617.6626524562645
309,624.3918506845405
310,618.4085773152382
311,629.5958116826117
312,622.0919543806916
313,629.1156251073994
314,632.6896428276144
315,637.8510196169332
316,634.2480124152316
317,640.2227783543724
318,641.5740578248171
319,641.5045770575363
320,642.7231909095664
321,648.7277002026775
322,644.908798784801
323,645.3926100581035
324,652.1716451411297
325,652.6947234752714
326,653.9190750660256
327,653.7557814161094
328,663.6819305096831
329,658.3835603129321
330,661.8127339699204
331,668.236743611122
332,663.7774829187879
333,666.737365987623
334,673.1771490667778
335,677.7060677579769
336,678.7198870819409
337,673.3329104824838
338,682.6217654933263
339,680.0093428456213
340,681.385662508522
341,681.5845533048083
342,690.936700978744
343,686.5102895465562
344,688.3251073971862
345,694.9199382334738
346,695.3408908678323
347,696.9619205435919
348,695.1032077567463
349,697.3201010609538
350,705.0815072419568
351,707.710236387665
352,710.0810257751315
353,707.8193106758653
354,712.1938162820113
355,717.0121021683625
356,717.4636544910576
357,721.3771875316942
358,721.3344503831869
359,721.4842581703417
360,723.1636435683041
361,720.737539364363
362,730.153408248728
363,726.2003119342074
364,729.5941047111095
365,737.4687197280848
366,731.3885380858163
367,740.3771797900437
368,738.4787126513536
369,742.4996382954381
370,745.9876488634956
371,743.6501576681401
372,749.7512646280089
373,752.3060396644
374,752.9282057717112
375,757.346636669081
376,750.7371420306582
377,760.5988818215428
378,763.7724940343554
379,757.0762737757876
380,762.809321437896
381,767.9257888762838
382,763.6042772700406
383,766.7839449464639
384,766.670964423585
385,771.866799410408
386,770.8664235777154
387,780.6464802478813
388,775.7664808224196
389,777.7189064156798
390,783.893879941411
391,782.703859512542
392,785.332043867588
393,790.1781783233236
394,788.0196921788445
395,791.2989879252381
396,797.2787007888121
397,797.6865068600026
398,798.2476730430997
399,805.5315190095123
400,806.5831902923308
401,800.4423685278119
402,807.4610491908693
403,808.269683680615
404,813.8509933820284
405,812.1946688881803
406,813.6348914996189
407,815.0582424504091
408,816.6298946095272
409,818.7246209947378
410,824.5235146812178
411,828.931162335821
412,822.6861692031581
413,825.409632724391
414,829.2091173783089
415,837.0742138378417
416,838.0141614805667
417,833.5442844427484
418,839.7830992498376
419,842.3494747235299
420,847.0275815600424
421,844.2524091998247
422,844.2944724520022
423,847.2898866328718
424,852.1827779445392
425,849.8422254013402
426,857.8413165285697
427,852.4489965419896
428,854.5739855236918
429,856.1743128249049
430,860.1700096551447
431,864.7613773010917
432,867.5880195450928
433,873.3802474310546
434,874.8831210631245
435,877.1023098878472
436,870.351699998809
437,879.6408931394484
438,881.0442678962262
